# Observed Wavelength Air (nm)  	 
# Unc.  (nm)  	 
# Ritz Wavelength Air (nm)  	 
# Unc.  (nm)  
#  Rel.  Int.  (?) 
#  Aki (s-1)  
#  Acc.  Ei (cm-1)  
#   Ek (cm-1)  
#  Lower Level Conf., Term, J  
#  Upper Level Conf., Term, J  
#  Type  TP Ref.  
# Line
# Ref.
# 																		 
427.5167    	0.0020   	427.51579   	0.00003   	 10  	  	   	148 257.7898  	-  	171 642.1580  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)6d  	 2[5/2]°  	 2  		  	L3469
427.55590   	0.00020  	427.55572   	0.00003   	 700  	  	   	148 257.7898  	-  	171 639.9741  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)6d  	 2[3/2]°  	 2  		  	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
427.8850    	0.0020   	427.8839    	0.0016    	 50  	  	   	149 657.0392  	-  	173 021.29    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)11d  	 2[5/2]°  	 3  		  	L3469
427.9279    	0.0020   	427.9279    	0.0020    	 150  	  	   	149 657.0392  	-  	173 018.89    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)11d  	 2[7/2]°  	 4  		  	L3469
428.3242    	0.0020   	428.3241    	0.0020    	 100  	  	   	149 824.2215  	-  	173 164.46    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)12d  	 2[7/2]°  	 3  		  	L3469
428.8541    	0.0020   	428.8527    	0.0015    	 50  	  	   	149 657.0392  	-  	172 968.51    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)12s  	 2[3/2]°  	 2  		  	L3469
428.9799    	0.0020   	428.9786    	0.0022    	 20  	  	   	149 824.2215  	-  	173 128.85    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)13s  	 2[3/2]°  	 1  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
429.1976    	0.0020   	429.1992    	0.0009    	 20*  	  	   	150 315.8612  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)10d  	 2[5/2]°  	 2  		  	L3469
429.1976    	0.0020   	429.1992    	0.0015    	 20*  	  	   	150 315.8612  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)10d  	 2[3/2]°  	 2  		  	L3469
429.1976    	0.0020   	429.1987    	0.0013    	 20*  	  	   	150 315.8612  	-  	173 608.54    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)10d  	 2[5/2]°  	 3  		  	L3469
430.3248    	0.0020   	430.32535   	0.00009   	 300  	  	   	148 257.7898  	-  	171 489.486   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)8s  	 2[3/2]°  	 1  		  	L3469
430.3695    	0.0020   	430.3718    	0.0017    	 10  	  	   	150 121.5922  	-  	173 350.78    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)9d  	 2[3/2]°  	 1  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
430.3955    	0.0020   	430.3963    	0.0015    	 50  	  	   	150 121.5922  	-  	173 349.46    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)9d  	 2[5/2]°  	 2  		  	L3469
430.62508   	0.00020  	430.62518   	0.00008   	 700  	  	   	148 257.7898  	-  	171 473.311   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)8s  	 2[3/2]°  	 2  		  	L4498
431.0130    	0.0020   	431.0131    	0.0020    	 20  	  	   	149 824.2215  	-  	173 018.85    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)11d  	 2[7/2]°  	 3  		  	L3469
431.4110    	0.0020   	431.4114    	0.0015    	 10  	  	   	149 657.0392  	-  	172 830.25    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)10d  	 2[5/2]°  	 3  		  	L3469
431.4695    	0.0020   	431.4695    	0.0020    	 300  	  	   	149 657.0392  	-  	172 827.13    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)10d  	 2[7/2]°  	 4  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
431.6008    	0.0020   	431.60048   	0.00010   	 150  	  	   	149 824.2215  	-  	172 987.283   	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)8d  	 2[5/2]°  	 3  		  	L3469
431.8834    	0.0020   	431.88005   	0.00008   	 50  	  	   	149 824.2215  	-  	172 972.289   	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)12s  	 2[3/2]°  	 1  		  	L3469
431.9511    	0.0020   	431.9506    	0.0015    	 10  	  	   	149 824.2215  	-  	172 968.51    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)12s  	 2[3/2]°  	 2  		  	L3469
432.1492    	0.0020   	432.1493    	0.0011    	 20  	  	   	150 121.5922  	-  	173 255.24    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)10s  	 2[1/2]°  	 0  		  	L3469
432.7265    	0.0020   	432.7266    	0.0011    	 100  	  	   	149 657.0392  	-  	172 759.82    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)11s  	 2[3/2]°  	 2  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
433.41267   	0.00004  	433.41253   	0.00003   	 700  	  	   	148 257.7898  	-  	171 324.0107  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)7s  	 2[1/2]°  	 1  		  	L3451
